Name(IUPAC),Common_name,Cas,functional group,Odor Type,Odor description (Goodscents),Flavor Type,Flavor description (Goodscents),FEMA #,FEMA description,Thershold (odor)
octanoicacid,octanoic acid,124-07-2,Acids,fatty,"cheesy, fatty, oily, rancid, vegetable, waxy",soapy,"brandy, cheesy, fatty, rancid, soapy",2799,"Cheese, Fat, Grass, Oil",0.19
"(1S,8aR)-4,7-dimethyl-1-propan-2-yl-1,2,3,5,6,8a-hexahydronaphthalene",delta-cadinene,483-76-1,"terpenes, terpenoids",herbal,"dry, herbal, thyme, woody",,,4967,Fruity,
2-(4-methylcyclohex-3-en-1-yl)propan-2-ol,alpha-terpineol,98-55-5,"terpenes, terpenoids",terpenic,"citrus, cooling, dry, floral, lemon, lilac, lime, pine, resinous, terpenic, woody",citrus,"citrus, lemon, lime, soapy, woody",3045,"Anise, Fresh, Mint, Oil",0.0046
ethyl dec-9-enoate,ethyl 9-decenoate,67233-91-4,Esters,fruity,"fatty, fruity",,,,,
"3,7-dimethylocta-1,6-dien-3-ol",linalool,78-70-6,"terpenes, terpenoids",floral,"berry, blueberry, citrus, floral, green, orange, rose, sweet, terpenic, waxy, woody, bois de rose",citrus,"aldehydic, citrus, floral, lemon, orange, waxy, woody",2635,"Coriander, Floral, Lavender, Lemon, Rose",0.00001
"(1S,2S,4R)-1-ethenyl-1-methyl-2,4-bis(prop-1-en-2-yl)cyclohexane",(-)-beta-elemene,515-13-9,"terpenes, terpenoids",,sweet,,,,,
4-methyl-1-propan-2-ylcyclohex-3-en-1-ol,4-carvomenthenol,562-74-3,"terpenes, terpenoids",spicy,"citrus, earthy, mentholic, musty, peppery, spicy, sweet, terpenic, woody",cooling,"citrus, clove, cooling, earthy, herbal, mentholic, spicy, weedy, woody",2248,"Earth, Must, Nutmeg, Wood",0.34
"(1R,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene",beta-caryophyllene,87-44-5,"terpenes, terpenoids",spicy,"clove, dry, spicy, sweet, woody",spicy,"nut skin, clove, peppery, powdery, spicy, woody",2252,"Fried, Spice, Wood",0.064
"1,3-dimethyl-8-propan-2-yltricyclo[4.4.0.02,7]dec-3-ene",alpha-copaene,3856-25-5,"terpenes, terpenoids",woody,"honey, spicy, woody",,,,,
hexan-1-ol,hexanol,111-27-3,Alcohols,herbal,"alcoholic, ethereal, fruity, fusel, green, herbal, oily, pungent, sweet",green,"apple skin, apple, fruity, green, oily",2567,"Banana, Flower, Grass, Herb",0.0056
"1-methyl-4-prop-1-en-2-ylcyclohexa-1,3-diene",para-menthatriene,18368-95-1,"terpenes, terpenoids",terpenic,"camphoreous, chemical, cooling, herbal, oily, pine, terpenic, thyme, tropical, woody",terpenic,"camphoreous, citrus, cooling, herbal, oily, pine, terpenic, thyme, woody",,,0.015
"1-methyl-4-propan-2-ylcyclohexa-1,4-diene",gamma-terpinene,99-85-4,"terpenes, terpenoids",terpenic,"citrus, herbal, lemon, lime, oily, sweet, terpenic, tropical, woody",terpenic,"citrus, fruity, green, lime, oily, terpenic, tropical",3559,"Bitter, Citrus",0.065
1-methyl-4-propan-2-ylbenzene,para-cymene,99-87-6,"terpenes, terpenoids",terpenic,"chemical, cilantro, citrus, cumin, fresh, lemon, origanum, spicy, terpenic, woody",terpenic,"pepper bell pepper, citrus, green, origanum, rancid, spicy, terpenic, woody",2356,"Citrus, Fresh, Solvent",0.00501
1-methyl-4-propan-2-ylidenecyclohexene,terpinolene,586-62-9,"terpenes, terpenoids",herbal,"citrus, fresh, herbal, pine, sweet, woody, lemon peel",woody,"floral, herbal, lemon, lime, terpenic, woody",3046,Pine,0.041
1-methylidene-4-prop-1-en-2-ylcyclohexane,pseudolimonene,499-97-8,"terpenes, terpenoids",,,,,,,
"1-methyl-4-propan-2-ylcyclohexa-1,3-diene",alpha-terpinene,99-86-5,"terpenes, terpenoids",woody,"camphoreous, citrus, herbal, juicy, lemon, medicinal, spicy, terpenic, thyme, woody",terpenic,"citrus, lemon, lime, minty, pine, spicy, terpenic, woody",3558,Lemon,0.08
"2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane",camphene,79-92-5,"terpenes, terpenoids",woody,"camphoreous, herbal, terpenic, woody, fir needle",,,2229,"Camphor, Mothball, Oil, Warm",
ethyl2-methylpropanoate,ethyl isobutyrate,97-62-1,Esters,fruity,"alcoholic, ethereal, fruity, fusel, pungent, rummy, sweet",ethereal,"egg nog, alliaceous, ethereal, fruity, pungent",2428,,0.0000081
"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",alpha-pinene,80-56-8,"terpenes, terpenoids",herbal,"camphoreous, cooling, earthy, fresh, herbal, pine, sweet, terpenic, woody",woody,"camphoreous, herbal, pine, spicy, terpenic, tropical, woody",2902,"Cedarwood, Pine, Sharp",0.0025
